name,calory,protein,fat,carbohydrate,id,category_id
えのきたけ/生,22,2.7,0.2,7.6,1,8
えのきたけ/味付け瓶詰,85,3.6,0.3,16.9,2,8
きくらげ/乾,167,7.9,2.1,71.1,3,8
きくらげ/ゆで,13,0.6,0.2,5.2,4,8
しいたけ/乾しいたけ/乾,182,19.3,3.7,63.4,5,8
しいたけ/乾しいたけ/ゆで,42,3.2,0.5,16.7,6,8
ぶなしめじ/生,17,2.7,0.5,4.8,7,8
ほんしめじ/生,12,2.5,0.4,2.8,8,8
なめこ/生,15,1.8,0.2,5.4,9,8
なめこ/水煮缶詰,9,1,0.1,3.2,10,8
うすひらたけ/生,23,6.1,0.2,4.8,11,8
エリンギ/生,19,2.8,0.4,6,12,8
ひらたけ/生,20,3.3,0.3,6.2,13,8
まいたけ/生,15,2,0.5,4.4,14,8
マッシュルーム/生,11,2.9,0.3,2.1,15,8
マッシュルーム/水煮缶詰,14,3.4,0.2,3.3,16,8
まつたけ/生,23,2,0.6,8.2,17,8
やなぎまつたけ/生,13,2.4,0.1,4,18,8
しいたけ　生しいたけ　菌床栽培　生,20,3.1,0.3,6.4,19,8
しいたけ/生しいたけ/原木栽培、生,23,3.1,0.4,7.6,20,8
生乳/ジャージー種,82,3.9,5.2,4.7,21,13
生乳/ホルスタイン種,66,3.2,3.7,4.7,22,13
普通牛乳,67,3.3,3.8,4.8,23,13
脱脂乳,34,3.4,0.1,4.8,24,13
全粉乳,500,25.5,26.2,39.3,25,13
脱脂粉乳,359,34,1,53.3,26,13
乳児用調製粉乳,514,12.4,26.8,55.9,27,13
加糖練乳,332,7.7,8.5,56,28,13
クリーム　乳脂肪,412,1.9,43,2.7,29,13
クリーム　植物性脂肪,370,1.3,39.5,2.5,30,13
ホイップクリーム/乳脂肪・植物性脂肪,416,4,38.4,12.9,31,13
ヨーグルト/全脂無糖,62,3.6,3,4.9,32,13
ヨーグルト/脱脂加糖,67,4.3,0.2,11.9,33,13
ヨーグルト/ドリンクタイプ/加糖,65,2.9,0.5,12.2,34,13
乳酸菌飲料/乳製品,71,1.1,0.1,16.4,35,13
ナチュラルチーズ/エダム,356,28.9,25,1.4,36,13
ナチュラルチーズ/エメンタール,429,27.3,33.6,1.6,37,13
ナチュラルチーズ/カテージ,105,13.3,4.5,1.9,38,13
ナチュラルチーズ/カマンベール,310,19.1,24.7,0.9,39,13
ナチュラルチーズ/クリーム,346,8.2,33,2.3,40,13
ナチュラルチーズ/ゴーダ,380,25.8,29,1.4,41,13
ナチュラルチーズ/チェダー,423,25.7,33.8,1.4,42,13
ナチュラルチーズ/パルメザン,475,44,30.8,1.9,43,13
ナチュラルチーズ/ブルー,349,18.8,29,1,44,13
プロセスチーズ,339,22.7,26,1.3,45,13
チーズスプレッド,305,15.9,25.7,0.6,46,13
アイスクリーム類/アイスクリーム/普通脂肪,180,3.9,8,23.2,47,13
アイスクリーム類/アイスミルク,167,3.4,6.4,23.9,48,13
アイスクリーム類/ラクトアイス/普通脂肪,224,3.1,13.6,22.2,49,13
アイスクリーム類/ソフトクリーム,146,3.8,5.6,20.1,50,13
うこっけい卵/全卵、生,176,12,13,0.4,51,13
うずら卵/全卵、生,179,12.6,13.1,0.3,52,13
うずら卵/水煮缶詰,182,11,14.1,0.6,53,13
鶏卵　全卵　生,151,12.3,10.3,0.3,54,12
鶏卵　全卵　ゆで,151,12.9,10,0.3,55,12
鶏卵/全卵/ポーチドエッグ,164,12.3,11.7,0.2,56,12
鶏卵/全卵/水煮缶詰,146,10.8,10.6,0,57,12
鶏卵/全卵/加糖全卵,217,9.8,10.6,20.7,58,12
鶏卵/全卵/乾燥全卵,608,49.1,42,0.2,59,12
鶏卵　卵黄　生,387,16.5,33.5,0.1,60,12
鶏卵　卵黄　ゆで,386,16.7,33.3,0.2,61,12
鶏卵/卵黄/加糖卵黄,346,12.1,23.9,20.7,62,12
鶏卵/卵黄/乾燥卵黄,724,30.3,62.9,0.2,63,12
鶏卵　卵白　生,47,10.5,0,0.4,64,12
鶏卵　卵白　ゆで,50,11.3,0.1,0.4,65,12
鶏卵/卵白/乾燥卵白,378,86.5,0.4,0.2,66,12
鶏卵/たまご豆腐,79,6.4,5,2,67,12
鶏卵/たまご焼/厚焼きたまご,151,10.8,9.1,6.4,68,12
鶏卵/たまご焼/だし巻きたまご,128,11.2,9,0.5,69,12
